Model__model,pf__degree,st__horizon,st__window_size,RMSE,MAE
linear,1,1,1,147.63933263678751,52.478753637514714
linear,1,1,5,144.6368428910925,51.11144156693466
linear,1,1,10,144.3660752357913,51.10710062209614
linear,1,6,1,263.34481469950674,124.30951707649452
linear,1,6,5,255.62083017622223,116.01325308757326
linear,1,6,10,254.7498140305524,114.08589354889463
linear,1,144,1,622.4089470179173,438.2104200342882
linear,1,144,5,621.7845295772013,436.0929390066233
linear,1,144,10,621.7158048713585,435.3211224860171
linear,2,1,1,147.5779783812297,53.115298156979605
linear,2,1,5,144.37196131563684,51.25467133163862
linear,2,1,10,144.27680880514387,51.29450472415178
linear,2,6,1,263.2871435356988,124.38492658368521
linear,2,6,5,255.29242066886874,116.11120750054653
linear,2,6,10,254.50370509290528,114.35086925736385
linear,2,144,1,622.3849809605684,437.5565473348712
linear,2,144,5,621.6638574101895,436.417465496757
linear,2,144,10,621.3618784309612,435.32733410842803
linear,3,1,1,147.52828899237903,52.2451561840014
linear,3,1,5,144.11141737251364,50.98480862736028
linear,3,1,10,145.56892788758805,50.95306124035085
linear,3,6,1,262.7945013611158,120.1316027216686
linear,3,6,5,254.21100642219503,114.09316195444376
linear,3,6,10,255.61719422221412,113.24519662327073
linear,3,144,1,622.4218989692711,434.5786160210445
linear,3,144,5,621.6413546350022,432.2135502843371
linear,3,144,10,622.8791696483796,432.20581171753116
ridge,1,1,1,147.6394012596644,52.4804557315215
ridge,1,1,5,144.63648473126918,51.108040942687
ridge,1,1,10,144.36570838984215,51.10762567466428
ridge,1,6,1,263.34495803826786,124.31795018549396
ridge,1,6,5,255.62082228407345,116.01266014138757
ridge,1,6,10,254.74980666989947,114.08486291673896
ridge,1,144,1,622.4089564953404,438.2109156989492
ridge,1,144,5,621.7845338164607,436.0921804575113
ridge,1,144,10,621.7158102977027,435.32046480805445
ridge,2,1,1,147.57802180865758,53.114835185473446
ridge,2,1,5,144.37160564563695,51.25037684000759
ridge,2,1,10,144.27508803700712,51.28758596909536
ridge,2,6,1,263.28724563941256,124.38218929655818
ridge,2,6,5,255.29202116102434,116.12964106510242
ridge,2,6,10,254.50302881542785,114.3371081382628
ridge,2,144,1,622.3849924037221,437.5575610906013
ridge,2,144,5,621.66059051523,436.40526929103635
ridge,2,144,10,621.3466855611437,435.2873086702207
ridge,3,1,1,147.52850271369277,52.23915994217529
ridge,3,1,5,144.10125410595148,50.93789324768211
ridge,3,1,10,145.06182796921775,50.71941389149691
ridge,3,6,1,262.7948526825893,120.12831791487838
ridge,3,6,5,254.21072827484454,114.06550403614818
ridge,3,6,10,254.91646397961978,112.91880176435895
ridge,3,144,1,622.4219399952802,434.5771767328341
ridge,3,144,5,621.620114724395,432.25456346258727
ridge,3,144,10,622.1490613933797,431.7597828702427
